,State,Shape,City,Sight_Date,Sigth_Time,Sight_Day,Sight_Month,Sight_WeekDate
0,MD,Disk,Solomons Island,22/09/1997,20:00,22,09,Segunda-Feira
1,CA,Rectangle,Garden Grove,19/09/1997,,19,09,Sexta-Feira
2,FL,Unknown,Panama City,18/09/1997,20:15,18,09,Quinta-Feira
3,TX,Disk,Houston,15/09/1997,00:00,15,09,Segunda-Feira
4,NM,Light,Santa Fe,15/09/1997,20:00,15,09,Segunda-Feira
5,WA,Sphere,Kent,15/09/1997,20:00,15,09,Segunda-Feira
6,IN,Circle,Angola,15/09/1997,20:00,15,09,Segunda-Feira
7,LA,Cigar,Gulf of Mexico,07/09/1997,12:00,07,09,Domingo
8,ME,Light,Albany,01/09/1997,23:00,01,09,Segunda-Feira
9,CA,Light,Carlsbad,01/09/1997,22:30,01,09,Segunda-Feira
10,UT,Circle,Ophir Mountain,30/10/1997,00:00,30,10,Quinta-Feira
11,CA,Disk,Milford,22/10/1997,15:00,22,10,Quarta-Feira
12,WA,Light,Gig Harbor,20/10/1997,08:45,20,10,Segunda-Feira
13,MA,Light,Attleboro,19/10/1997,02:00,19,10,Domingo
14,CO,Triangle,Ignacio,17/10/1997,20:00,17,10,Sexta-Feira
15,WA,Triangle,Rosburg,15/10/1997,20:00,15,10,Quarta-Feira
16,NJ,Triangle,Shark River Hills,15/10/1997,19:00,15,10,Quarta-Feira
17,CA,Rectangle,Daggett,15/10/1997,17:30,15,10,Quarta-Feira
18,CT,Rectangle,New Britain (?),15/10/1997,17:00,15,10,Quarta-Feira
19,NY,Cylinder,New York City (Staten Island),15/10/1997,15:00,15,10,Quarta-Feira
20,GA,Triangle,Bonaire,10/10/1997,20:00,10,10,Sexta-Feira
21,AZ,Sphere,Mesa,10/10/1997,17:00,10,10,Sexta-Feira
22,TX,Light,Waco,03/10/1997,21:30,03,10,Sexta-Feira
23,GA,Circle,Ringgold,02/10/1997,02:00,02,10,Quinta-Feira
24,SC,Triangle,Summerville,01/10/1997,22:00,01,10,Quarta-Feira
25,WI,Light,Green Bay,01/10/1997,19:00,01,10,Quarta-Feira
26,SC,Triangle,Pelzer,01/10/1997,19:00,01,10,Quarta-Feira
27,WI,Fireball,Lake Geneva,28/11/1997,19:30,28,11,Sexta-Feira
28,NE,Circle,Plattsmouth,21/11/1997,12:00,21,11,Sexta-Feira
29,NJ,Circle,Chester,15/11/1997,23:00,15,11,Sábado
30,NY,Triangle,Varysburg,15/11/1997,21:30,15,11,Sábado
31,CA,Oval,El Centro,15/11/1997,20:00,15,11,Sábado
32,WA,Disk,Stevens Pass,14/11/1997,22:00,14,11,Sexta-Feira
33,WA,Unknown,McCleary,14/11/1997,21:00,14,11,Sexta-Feira
34,WA,Diamond,Seattle,14/11/1997,21:00,14,11,Sexta-Feira
35,WA,Formation,Gig Harbor,14/11/1997,21:00,14,11,Sexta-Feira
36,WA,Unknown,Edmonds,14/11/1997,20:00,14,11,Sexta-Feira
37,WA,Oval,Lynnwood,14/11/1997,20:00,14,11,Sexta-Feira
38,MS,Cigar,Perkinston,09/11/1997,21:00,09,11,Domingo
39,OH,Other,Warren,31/12/1997,20:30,31,12,Quarta-Feira
40,CA,Disk,Los Angeles (Eagle Rock),25/12/1997,09:00,25,12,Quinta-Feira
41,FL,Fireball,Ocala,17/12/1997,00:15,17,12,Quarta-Feira
42,IL,Fireball,Iola,15/12/1997,22:00,15,12,Segunda-Feira
43,WV,Triangle,Oak Hill,15/12/1997,18:00,15,12,Segunda-Feira
44,NY,Other,Fort Ann,10/12/1997,20:00,10,12,Quarta-Feira
45,NJ,Fireball,Paramus (souh of),01/12/1997,23:30,01,12,Segunda-Feira
