lat,long
,
,
33.7886,-117.9277
30.1614,-85.6688
29.7634,-95.3634
35.7091,-105.8594
47.3624,-122.1983
47.6177,-122.2108
41.6620,-85.0005
,
,
33.1508,-117.3133
,
40.1803,-120.3949
47.3744,-122.7162
41.9383,-71.2942
37.1074,-107.6316
46.3062,-123.6294
,
34.8550,-116.8565
,
,
,
,
32.5133,-83.5752
33.4432,-111.8553
31.5513,-97.1382
34.8776,-85.1195
33.0964,-80.1953
44.4834,-88.0227
34.6319,-82.4356
42.5712,-88.4577
40.9694,-95.9498
40.7847,-74.6824
42.7389,-78.3186
32.7709,-115.6023
,
,
47.6110,-122.3335
47.3744,-122.7162
47.8061,-122.3755
47.8048,-122.2862
30.6817,-89.0957
,
,
41.2380,-80.8605
,
29.1994,-82.0627
,
,
37.9712,-81.1170
43.4442,-73.4977
,
40.4858,-85.9470
,
,
33.2836,-97.2933
,
,
40.3966,-74.1079
,
,
,
,
,
30.4492,-91.1876
30.4261,-84.2517
,
,
,
31.2557,-92.4742
41.4405,-76.9897
33.4652,-104.4145
38.8515,-88.7341
35.3026,-120.8089
32.5261,-94.9490
40.3189,-86.4688
32.7199,-117.1805
27.9686,-80.5759
34.4356,-119.8269
29.7634,-95.3634
,
,
36.1537,-95.9926
39.4930,-106.1703
43.2374,-86.2533
38.1297,-82.5437
,
37.9582,-122.3799
29.4728,-98.5356
43.4653,-89.7588
40.0004,-83.6215
,
,
37.0323,-121.9438
,
,
41.8238,-71.4133
44.9586,-123.0026
37.5912,-89.7058
40.7566,-111.9012
26.62,-81.84
32.5679,-89.3337
,
,
,
34.1050,-88.5508
35.3710,-100.8126
26.3110,-80.0983
38.8336,-104.8206
36.1736,-115.1264
46.3239,-87.4902
42.7319,-71.1858
33.9736,-118.2479
42.0938,-84.2214
41.1949,-90.3720
40.1093,-88.2119
42.5848,-83.5008
,
41.3065,-93.5818
,
41.6725,-86.2533
32.2889,-90.1843
30.3383,-81.7706
38.6405,-87.5030
38.6405,-87.5030
36.2969,-97.2824
36.2969,-97.2824
48.7477,-122.5222
40.1012,-74.9417
,
34.0079,-118.1075
,
,
41.8925,-91.2737
43.1061,-78.1750
27.9475,-82.4588
36.6603,-121.6498
40.8598,-82.3135
,
,
,
27.9093,-97.1497
,
45.5074,-122.6898
,
34.4524,-118.5532
39.4919,-76.6650
,
,
40.2714,-113.1954
30.2885,-93.3927
40.9157,-73.7829
,
,
48.6539,-117.7496
36.7125,-91.8856
,
33.9736,-118.2479
,
,
47.0345,-120.3914
40.4663,-82.2659
38.1074,-78.9037
38.9511,-90.8829
,
33.1657,-95.5296
,
46.4567,-85.4110
,
42.4527,-90.2577
39.0060,-77.4290
41.6785,-71.2710
,
40.1005,-83.0139
35.0846,-106.6516
44.9848,-93.2697
,
,
38.4234,-90.4016
40.9157,-73.7829
42.5429,-83.3797
34.0842,-83.3095
38.0455,-92.8027
,
41.0442,-81.5254
35.9862,-121.2213
44.8690,-85.2859
,
38.7439,-121.2587
40.7129,-73.2960
30.6945,-88.0431
36.5878,-121.9458
38.4534,-122.7814
41.7775,-72.6219
,
39.0241,-94.6646
,
,
38.9934,-76.5470
,
37.7467,-89.9038
,
